id_pedido;fecha_despacho;dia_semana_despacho;provincia_destino;categoria_producto;peso_paquete_kg;volumen_paquete_cm3;proveedor_logistico;distancia_km;clima_despacho;es_vispera_feriado;tipo_envio;intentos_previos;etiqueta_fragil;entrega_demorada;codigo_postal_dest;valor_declarado_ars
134;17/11/2023;viernes;Tucumán;Electrónica;1818;890080;Transporte Propio;1364;Despejado;No;Express;0;Sí;0;B19XX;$ 45.324
135;4/8/2023;viernes;Neuquén;Indumentaria;253;496520;Andreani;2226;Lluvia;No;Normal;0;No;0;N/A;$ 67.815
136;14/5/2023;domingo;Córdoba;Muebles;3685;551640;Andreani;298;Despejado;No;Express;2;Sí;0;B9626AAA;101621
137;26/9/2023;martes;Córdoba;Bazar;396;370920;Andreani;2067;Despejado;No;Same-Day;1;No;1;B6941AAA;ARS 41083
138;2/6/2023;viernes;Tucumán;Indumentaria;995;915730;Transporte Propio;1944;Tormenta;No;Same-Day;3;Sí;1;B3828AAA;$ 61.201
139;4/9/2023;lunes;Mendoza;Indumentaria;264;547720;Andreani;399;Despejado;No;Normal;2;Sí;0;B5424AAA;$ 137.685
140;15/5/2023;lunes;Buenos Aires;Muebles;3346;35460;Transporte Propio;1825;Lluvia;No;Express;1;No;0;B2381AAA;119882
141;1/10/2023;domingo;Salta;Electrónica;3171;279060;Oca;1813;Despejado;No;Same-Day;3;No;0;B1581AAA;127887
142;14/7/2023;viernes;Tucumán;Bazar;945;281850;Oca;1634;Tormenta;No;Normal;2;No;1;B1782AAA;$ 71.155
143;20/8/2023;domingo;Neuquén;Muebles;452;320390;Oca;2307;Despejado;No;Express;3;Sí;0;B9024AAA;148237
144;18/4/2023;martes;CABA;Muebles;3232;781900;Transporte Propio;1449;Despejado;No;Normal;0;No;0;B8242AAA;149683
145;25/7/2023;martes;Mendoza;Indumentaria;1372;444240;Andreani;1975;Despejado;No;Express;0;Sí;0;B8777AAA;$ 102.586
146;4/2/2023;sábado;Santa Fe;Indumentaria;1592;404520;Correo Argentino;1470;Despejado;No;Express;0;No;0;B5556AAA;$ 115.068
147;29/5/2023;lunes;Tucumán;Juguetes;4331;675490;Transporte Propio;2150;Despejado;No;Same-Day;3;No;0;B8661AAA;$ 55.736
148;25/12/2023;lunes;Mendoza;Indumentaria;1959;406850;Oca;975;Lluvia;No;Express;1;Sí;1;B3129AAA;$ 6.103
149;18/3/2023;sábado;CABA;Indumentaria;2948;900800;Oca;189;Despejado;No;Normal;0;Sí;0;B5462AAA;74146
150;4/5/2023;jueves;Córdoba;Indumentaria;2317;884150;Oca;904;Despejado;No;Express;2;No;0;B6583AAA;38949
151;15/12/2023;viernes;Mendoza;Juguetes;1824;275540;Oca;2351;Despejado;No;Same-Day;2;No;1;B4124AAA;60080
152;23/11/2023;jueves;CABA;Bazar;1312;987480;Oca;859;Despejado;No;Same-Day;2;No;0;B8396AAA;9826
153;4/4/2023;martes;Córdoba;Indumentaria;689;306880;Andreani;1234;Despejado;No;Express;0;No;0;B8423AAA;46734
154;9/12/2023;sábado;Buenos Aires;Bazar;1428;460630;Andreani;447;Despejado;No;Express;2;Sí;0;B2860AAA;ARS 100729
155;11/1/2023;miércoles;Mendoza;Muebles;1927;756690;Oca;1778;Despejado;No;Normal;3;No;1;B5583AAA;$ 117.664
156;2/10/2023;lunes;Córdoba;Bazar;2988;394930;Correo Argentino;1760;Tormenta;Sí;Express;0;No;1;B9206AAA;$ 75.542
157;21/8/2023;lunes;Buenos Aires;Muebles;3594;289500;Correo Argentino;527;Despejado;No;Same-Day;2;No;0;B2804AAA;26183
158;28/6/2023;miércoles;Buenos Aires;Electrónica;4864;306970;Andreani;1155;Despejado;No;Normal;3;No;1;B3867AAA;18124
159;19/1/2023;jueves;Buenos Aires;Muebles;3528;47840;Oca;1241;Lluvia;No;Express;2;No;0;B4238AAA;$ 114.579
160;7/12/2023;jueves;Santa Fe;Juguetes;753;38730;Transporte Propio;1498;Lluvia;No;Express;1;Sí;0;B7277AAA;88585
161;3/5/2023;miércoles;Buenos Aires;Muebles;454;938950;Correo Argentino;1287;Lluvia;Sí;Normal;1;No;1;N/A;$ 149.575
162;1/2/2023;miércoles;Neuquén;Indumentaria;508;890190;Correo Argentino;275;Lluvia;No;Same-Day;1;Sí;0;B1467AAA;138193
163;16/9/2023;sábado;Buenos Aires;Electrónica;4315;832070;Correo Argentino;232;Despejado;No;Express;0;Sí;0;B5841AAA;16710
164;3/6/2023;sábado;Neuquén;Muebles;1485;976270;Oca;1587;Lluvia;No;Express;3;Sí;0;B2297AAA;ARS 9039
165;21/1/2023;sábado;Buenos Aires;Indumentaria;4484;509000;Transporte Propio;2418;Tormenta;No;Same-Day;2;No;0;B3591AAA;ARS 7663
166;1/5/2023;lunes;Salta;Juguetes;4348;203920;Correo Argentino;978;Lluvia;No;Normal;2;No;0;B2935AAA;ARS 66945
167;29/5/2023;lunes;Mendoza;Bazar;2051;808390;Oca;1567;Despejado;Sí;Normal;3;No;1;B8193AAA;137162
168;8/1/2023;domingo;Santa Fe;Juguetes;534;482250;Andreani;1361;Lluvia;Sí;Express;3;Sí;0;B9301AAA;73144
169;6/3/2023;lunes;Santa Fe;Muebles;731;147270;Correo Argentino;256;Despejado;No;Normal;1;No;0;B8189AAA;61879
170;15/4/2023;sábado;Mendoza;Muebles;3435;150890;Oca;1588;Despejado;No;Same-Day;0;No;0;123;$ 70.193
171;5/8/2023;sábado;Tucumán;Bazar;2136;916280;Correo Argentino;570;Tormenta;No;Same-Day;1;Sí;1;B3911AAA;82796
172;11/10/2023;miércoles;Buenos Aires;Indumentaria;2927;946360;Transporte Propio;1796;Despejado;No;Same-Day;3;No;0;B7536AAA;ARS 94254
173;14/11/2023;martes;Neuquén;Bazar;4715;659700;Andreani;305;Despejado;No;Same-Day;3;Sí;0;B3698AAA;107781
174;8/2/2023;miércoles;Mendoza;Indumentaria;4789;543020;Andreani;779;Despejado;No;Same-Day;2;Sí;0;B7343AAA;ARS 140608
175;18/11/2023;sábado;Buenos Aires;Indumentaria;485;453730;Transporte Propio;750;Tormenta;No;Express;2;No;1;B8757AAA;45557
176;25/4/2023;martes;Córdoba;Bazar;1028;540890;Oca;877;Despejado;Sí;Normal;3;Sí;0;B4588AAA;18889
177;24/12/2023;domingo;Tucumán;Bazar;4357;940290;Transporte Propio;802;Lluvia;No;Normal;1;No;0;B7510AAA;119132
178;16/2/2023;jueves;Tucumán;Bazar;3249;153970;Transporte Propio;1274;Despejado;No;Same-Day;2;No;0;B8519AAA;117787
179;18/10/2023;miércoles;CABA;Muebles;847;667110;Andreani;1495;Lluvia;No;Same-Day;0;Sí;1;B2001AAA;ARS 57662
180;21/2/2023;martes;Tucumán;Indumentaria;3192;203140;Correo Argentino;682;Tormenta;No;Same-Day;0;Sí;0;N/A;46055
181;18/7/2023;martes;Buenos Aires;Indumentaria;1347;184680;Oca;1802;Lluvia;No;Same-Day;0;No;0;B5935AAA;90630
182;23/12/2023;sábado;Córdoba;Juguetes;4718;65700;Correo Argentino;420;Despejado;Sí;Normal;0;No;1;B7641AAA;85269
183;1/10/2023;domingo;Buenos Aires;Electrónica;3094;539950;Oca;2134;Lluvia;No;Express;3;No;0;B6136AAA;ARS 23877
184;18/9/2023;lunes;CABA;Juguetes;2169;605290;Correo Argentino;2387;Despejado;No;Express;3;No;0;B7509AAA;2244
185;25/2/2023;sábado;Neuquén;Juguetes;3549;156530;Transporte Propio;1558;Despejado;No;Normal;1;Sí;0;B9758AAA;26934
186;11/4/2023;martes;Santa Fe;Bazar;1507;676040;Oca;783;Tormenta;No;Same-Day;2;Sí;0;B7721AAA;127871
187;16/1/2023;lunes;Salta;Juguetes;2654;84320;Correo Argentino;2291;Despejado;No;Express;2;Sí;0;B1847AAA;ARS 11327
188;4/12/2023;lunes;Neuquén;Muebles;179;533250;Transporte Propio;1002;Tormenta;No;Normal;1;No;0;B8451AAA;50580
189;18/10/2023;miércoles;CABA;Bazar;683;36740;Oca;306;Despejado;No;Same-Day;3;No;0;B2634AAA;$ 44.791
190;18/9/2023;lunes;Córdoba;Muebles;1264;820540;Transporte Propio;2361;Despejado;No;Same-Day;3;No;1;B2816AAA;$ 111.990
191;28/2/2023;martes;Salta;Juguetes;2087;443350;Correo Argentino;572;Despejado;No;Express;0;No;0;B7662AAA;15450
192;23/6/2023;viernes;Neuquén;Juguetes;4631;205320;Correo Argentino;1577;Tormenta;No;Express;0;Sí;0;B6266AAA;$ 78.831
193;10/11/2023;viernes;Mendoza;Electrónica;3041;998000;Oca;684;Despejado;No;Express;2;No;0;B19XX;110609
194;2/5/2023;martes;Buenos Aires;Indumentaria;3051;263580;Transporte Propio;708;Tormenta;No;Normal;3;Sí;0;B2763AAA;$ 12.828
195;2/9/2023;sábado;Mendoza;Electrónica;292;577600;Transporte Propio;1850;Lluvia;No;Normal;0;Sí;0;N/A;129129
196;19/3/2023;domingo;Santa Fe;Muebles;22;359730;Oca;1761;Despejado;No;Normal;1;No;0;B2512AAA;$ 71.213
